Var1,Saline,x2XIBU
Celery,7,4
Carrot,6,0
Broccoli,8,4
Cauliflower,7,4
Spinach,2,6
Kale,6,6
Tomato,5,3
Squash,5,4
Potato,5,4
Mushroom,6,1
Melon,10,9
Kiwi,6,11
Apple,2,8
Guava,7,6
Fig,6,12
Cherry,1,7
Berry,4,3
Mango,1,0
Peach,0,0
